[22/03/2021 21:10:07] [00:00:05] [     0/200000] 1.8473e+04
[22/03/2021 21:10:08] [00:00:07] [     1/200000] 1.8349e+04
[22/03/2021 21:10:10] [00:00:08] [     2/200000] 1.8181e+04
[22/03/2021 21:10:12] [00:00:10] [     3/200000] 1.7995e+04
[22/03/2021 21:10:13] [00:00:12] [     4/200000] 1.7514e+04
[22/03/2021 21:10:15] [00:00:13] [     5/200000] 1.6804e+04
[22/03/2021 21:10:17] [00:00:15] [     6/200000] 1.6502e+04
[22/03/2021 21:10:18] [00:00:17] [     7/200000] 1.5684e+04
[22/03/2021 21:10:20] [00:00:18] [     8/200000] 1.4222e+04
[22/03/2021 21:10:22] [00:00:20] [     9/200000] 1.3148e+04
[22/03/2021 21:10:24] [00:00:22] [    10/200000] 1.3567e+04
[22/03/2021 21:10:25] [00:00:24] [    11/200000] 1.2684e+04
[22/03/2021 21:10:27] [00:00:26] [    12/200000] 1.2346e+04
[22/03/2021 21:10:29] [00:00:27] [    13/200000] 1.2004e+04
[22/03/2021 21:10:31] [00:00:29] [    14/200000] 1.1048e+04
[22/03/2021 21:10:32] [00:00:31] [    15/200000] 1.0318e+04
[22/03/2021 21:10:34] [00:00:33] [    16/200000] 1.1452e+04
[22/03/2021 21:10:36] [00:00:34] [    17/200000] 1.1172e+04
[22/03/2021 21:10:38] [00:00:36] [    18/200000] 1.0950e+04
[22/03/2021 21:10:39] [00:00:38] [    19/200000] 9.4455e+03
[22/03/2021 21:10:41] [00:00:40] [    20/200000] 1.1009e+04
[22/03/2021 21:10:43] [00:00:41] [    21/200000] 9.9247e+03
[22/03/2021 21:10:45] [00:00:43] [    22/200000] 1.0001e+04
[22/03/2021 21:10:47] [00:00:45] [    23/200000] 1.0652e+04
[22/03/2021 21:10:48] [00:00:47] [    24/200000] 9.8061e+03
[22/03/2021 21:10:50] [00:00:49] [    25/200000] 1.0399e+04
[22/03/2021 21:10:52] [00:00:50] [    26/200000] 1.0604e+04
[22/03/2021 21:10:54] [00:00:52] [    27/200000] 1.0304e+04
[22/03/2021 21:10:56] [00:00:54] [    28/200000] 9.4780e+03
[22/03/2021 21:10:57] [00:00:56] [    29/200000] 1.1332e+04
[22/03/2021 21:10:59] [00:00:58] [    30/200000] 9.6747e+03
